trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.996}",20,0,-129.42805940786218,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.992}",30,0,-204.26200732347337,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.988}",20,0,-165.7950640244786,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.984}",25,0,-193.19633372150298,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.98}",20,0,-117.8898214710957,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.976}",20,0,-78.23505284193112,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.972}",20,0,-8.709330730328267,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.968}",30,0,-120.67908209933303,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.964}",25,0,-84.51133388281211,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.96}",20,0,-43.687581618827956,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.956}",30,0,-157.57389335795887,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.952}",20,0,-155.66257504307177,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.948}",25,0,-136.00366293389635,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.944}",20,0,-157.14428362796744,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.94}",20,5,-23.283161944018765,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-125.7137259019248,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9319999999999999}",25,0,-114.80395844164609,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,8,-67.35231582415076,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9239999999999999}",20,0,-65.11155128216306,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-166.59457017146434,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9159999999999999}",25,0,-107.54828625606568,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9119999999999999}",25,0,-128.20378444971837,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9079999999999999}",30,0,-96.33451716023409,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9039999999999999}",35,12,-95.38411412474854,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-247.98360268864803,"{0: 18, 1: 3, 2: 10, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.8959999999999999}",20,0,-36.00896738452765,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8919999999999999}",25,0,-117.13600969139087,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8879999999999999}",25,0,-25.237491394302495,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8839999999999999}",30,15,-64.09354914792598,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,10,-26.744068542547215,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.8759999999999999}",30,0,-70.61093047083656,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8719999999999999}",30,15,-4.031328466681478,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8679999999999999}",30,0,-260.45094282429557,"{0: 16, 1: 3, 2: 4, 3: 3, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.8639999999999999}",20,0,-87.56089324354097,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
