trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.996}",20,0,-133.47603522518438,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.992}",30,0,-127.29811800707331,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.988}",30,0,-136.9766983438519,"{0: 16, 1: 9, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.984}",25,0,-92.26019751188396,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.98}",25,9,-79.5664962668323,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.4, 'e': 0.976}",20,0,-142.9824669155535,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.972}",20,0,-136.83355202935394,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.968}",30,0,-134.24263537079852,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.964}",30,23,10.850672033797943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.96}",20,0,-37.01315064539473,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.956}",30,8,-171.75950836039956,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 3}",1
12,False,"{'a': 0.4, 'e': 0.952}",20,0,-44.03288093080966,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.948}",20,9,-67.48002635272742,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.4, 'e': 0.944}",25,0,-140.44448455962885,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.4, 'e': 0.94}",30,0,-140.42748628920282,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.4, 'e': 0.9359999999999999}",20,0,-116.07292484184289,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.9319999999999999}",25,0,-108.43932478022478,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.9279999999999999}",25,0,-62.59574824403982,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.9239999999999999}",25,0,-73.3467601816943,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.9199999999999999}",20,0,-55.88342980915223,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.4, 'e': 0.9159999999999999}",30,0,-233.66278235913052,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
22,False,"{'a': 0.4, 'e': 0.9119999999999999}",25,4,-140.43291383524058,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 1}",1
23,False,"{'a': 0.4, 'e': 0.9079999999999999}",20,0,-50.53369763326572,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.9039999999999999}",25,0,-161.67910948709772,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.8999999999999999}",20,2,-43.954616208340745,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
26,False,"{'a': 0.4, 'e': 0.8959999999999999}",20,0,-61.60136783083958,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.8919999999999999}",30,0,-3.3445439248537716,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.4, 'e': 0.8879999999999999}",30,0,-239.64515528833874,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
29,False,"{'a': 0.4, 'e': 0.8839999999999999}",25,0,-93.25067918835504,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.8799999999999999}",30,0,-110.6857149219951,"{0: 22, 1: 0, 2: 4, 3: 3, 4: 1}",0
31,False,"{'a': 0.4, 'e': 0.8759999999999999}",20,0,-121.00059657459147,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.8719999999999999}",20,0,-51.95098346528113,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.4, 'e': 0.8679999999999999}",25,0,-135.0677462752935,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.8639999999999999}",20,0,-40.06399432693305,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.8599999999999999}",20,0,-150.18522606622795,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.4, 'e': 0.8559999999999999}",20,0,-46.85269435672869,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.8519999999999999}",20,0,-95.52320423157595,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.4, 'e': 0.8479999999999999}",30,0,-126.23346990795552,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.4, 'e': 0.8439999999999999}",25,8,-66.96007889264376,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
40,False,"{'a': 0.4, 'e': 0.8399999999999999}",25,7,-126.34618302486162,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
41,False,"{'a': 0.4, 'e': 0.8359999999999999}",25,5,-101.38704930074984,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
42,False,"{'a': 0.4, 'e': 0.8319999999999999}",20,0,-29.442574798261063,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.8279999999999998}",20,0,-117.58297666085943,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.4, 'e': 0.8239999999999998}",25,0,-70.1937574488463,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.8199999999999998}",30,0,-282.1496858129339,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 6}",0
46,False,"{'a': 0.4, 'e': 0.8159999999999998}",20,7,-15.495120578549715,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.8119999999999998}",20,0,-93.32174862104937,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.8079999999999998}",25,11,-91.66970326628011,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
49,False,"{'a': 0.4, 'e': 0.8039999999999998}",30,0,-46.93959516559355,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.7999999999999998}",25,0,-124.4920653665303,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
51,False,"{'a': 0.4, 'e': 0.7959999999999998}",20,0,-8.558348367506444,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
52,False,"{'a': 0.4, 'e': 0.7919999999999998}",20,0,-46.16000138409426,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.4, 'e': 0.7879999999999998}",20,0,-74.35976985232767,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.7839999999999998}",20,0,-86.6087275561701,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.4, 'e': 0.7799999999999998}",20,7,-46.05678489091615,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.7759999999999998}",25,0,-39.208259983285515,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.4, 'e': 0.7719999999999998}",35,0,-113.98596569528021,"{0: 24, 1: 6, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.7679999999999998}",25,0,-93.05436546934824,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.4, 'e': 0.7639999999999998}",20,0,-76.94782620119705,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.7599999999999998}",35,20,-45.461188122826215,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.4, 'e': 0.7559999999999998}",20,0,-68.04881825831175,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.7519999999999998}",25,0,-131.19576353406623,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.7479999999999998}",25,0,-94.12948336868547,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.7439999999999998}",35,0,-282.5195996714569,"{0: 16, 1: 6, 2: 7, 3: 2, 4: 4}",0
65,False,"{'a': 0.4, 'e': 0.7399999999999998}",30,0,-90.15958388507514,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.4, 'e': 0.7359999999999998}",30,0,-135.03627343817564,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
67,False,"{'a': 0.4, 'e': 0.7319999999999998}",25,5,-28.18756042990606,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
