trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.996}",30,0,-77.44654528353537,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.992}",20,0,-31.44417246234163,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.988}",35,0,-190.42159400042232,"{0: 18, 1: 8, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.984}",25,0,-112.57015243829639,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.98}",25,0,-237.03047783834614,"{0: 9, 1: 5, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.976}",20,0,-145.5822649041282,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.972}",20,0,-68.35843449702907,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.968}",20,0,-122.60277764186137,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.964}",25,0,-195.2417725147207,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.4, 'e': 0.96}",25,0,-138.07620090078802,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.956}",25,0,-80.04048455241362,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.952}",30,0,-141.92741054834426,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.948}",25,0,-154.2294711276194,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.944}",25,0,-107.78157828209076,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.94}",25,0,-202.73338608456726,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.4, 'e': 0.9359999999999999}",20,11,-98.03919127511679,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.4, 'e': 0.9319999999999999}",25,0,-126.09446411044175,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.9279999999999999}",25,1,-66.40103854133163,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.4, 'e': 0.9239999999999999}",25,0,-35.28260221646042,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.4, 'e': 0.9199999999999999}",35,0,-234.24654175625577,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-166.12379376088154,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-80.11363488017868,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-91.05831293351962,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-167.88815784430554,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-167.80233198426393,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.16043017304516,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-127.59020525745808,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-131.79126671158116,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-181.59989605808997,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-184.50409515316977,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
